ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
383,0.9859319712,0.9856466157,-0.0002853556,0,0,0,0,0,0,0,
384,0.9902979112,0.9901266979,-0.0001712133,0,0,0,0,0,0,0,
385,0.9960620934,0.9937792489,-0.0022828444,0,0,0,0,0,0,0,
387,0.9935509645,0.9934368223,-0.0001141422,0,0,0,0,0,0,0,
390,0.9736331469,0.9729768291,-0.0006563178,0,0,0,0,0,0,0,
391,0.9886713845,0.9881577445,-0.00051364,0,0,0,0,0,0,0,
392,0.9690674581,0.9686394247,-0.0004280333,0,0,0,0,0,0,0,
393,0.9934368223,0.9934368223,0,0,0,0,0,0,0,0,
394,0.9944926378,0.9940931401,-0.0003994978,0,0,0,0,0,0,0,
396,0.9959194156,0.9956625956,-0.00025682,0,0,0,0,0,0,0,
397,0.9964901267,0.9959764867,-0.00051364,0,0,0,0,0,0,0,
398,0.9927805045,0.9918102956,-0.0009702089,0,0,0,0,0,0,0,
399,0.9974032645,0.9971464445,-0.00025682,0,0,0,0,0,0,0,
404,0.9964901267,0.9962903778,-0.0001997489,0,0,0,0,0,0,0,
405,0.9874728912,0.9871304646,-0.0003424267,0,0,0,0,0,0,0,
406,0.9647585892,0.9643020203,-0.0004565689,0,0,0,0,0,0,0,
407,0.9967754823,0.9966328045,-0.0001426778,0,0,0,0,0,0,0,
408,0.9963474489,0.9960335578,-0.0003138911,0,0,0,0,0,0,0,
409,0.9890708823,0.9884716357,-0.0005992467,0,0,0,0,0,0,0,
411,0.991467869,0.9910683712,-0.0003994978,0,0,0,0,0,0,0,
413,0.9880721379,0.9877867823,-0.0002853556,0,0,0,0,0,0,0,
415,0.9948065289,0.9945782445,-0.0002282844,0,0,0,0,0,0,0,
416,0.9962333067,0.9959194156,-0.0003138911,0,0,0,0,0,0,0,
417,0.990697409,0.9903835179,-0.0003138911,0,0,0,0,0,0,0,
418,0.9926948978,0.9923524712,-0.0003424267,0,0,0,0,0,0,0,
420,0.9882148157,0.9873302134,-0.0008846022,0,0,0,0,0,0,0,
421,0.9915820112,0.9913251912,-0.00025682,0,0,0,0,0,0,0,
422,0.9935795001,0.9933797512,-0.0001997489,0,0,0,0,0,0,0,
423,0.9954343112,0.9952916334,-0.0001426778,0,0,0,0,0,0,0,
424,0.9666419359,0.965928547,-0.0007133889,0,0,0,0,0,0,0,
426,0.9874728912,0.9866738957,-0.0007989955,0,0,0,0,0,0,0,
427,0.9960620934,0.9958052734,-0.00025682,0,0,0,0,0,0,0,
428,0.9964901267,0.9963759845,-0.0001141422,0,0,0,0,0,0,0,
429,0.9693528136,0.9686964958,-0.0006563178,0,0,0,0,0,0,0,
430,0.9956055245,0.9951774912,-0.0004280333,0,0,0,0,0,0,0,
432,0.9700091314,0.9696381692,-0.0003709622,0,0,0,0,0,0,0,
433,0.9855895446,0.9853327246,-0.00025682,0,0,0,0,0,0,0,
434,0.9931229312,0.9918673667,-0.0012555644,0,0,0,0,0,0,0,
435,0.9828501313,0.982479169,-0.0003709622,0,0,0,0,0,0,0,
436,0.9781132291,0.9770859491,-0.00102728,0,0,0,0,0,0,0,
